"CU_ID","Year","Value"
"CK-17",2000,8840.02404810774
"CK-17",2001,7965.68480430786
"CK-17",2002,11642.6466857004
"CK-17",2003,15927.1816733101
"CK-17",2004,17584.1537410601
"CK-17",2005,15353.8664825105
"CK-17",2006,12523.4841138717
"CK-17",2007,7086.63604941868
"CK-17",2008,6256.58525769304
"CK-17",2009,4399.14770874879
"CK-17",2010,4154.36294925757
"CK-17",2011,4896.31445696085
"CK-17",2012,4730.124417558
"CK-17",2013,6005.09470382336
"CK-17",2014,8042.271081156
"CK-17",2015,9656.05955089967
"CK-17",2016,9217.41790805911
"CK-17",2017,8853.79408422585
"CK-17",2018,3928.8681215172
"CK-17",2019,3074.58879167474
"CK-17",2020,2983.53384807298
"CK-17",2021,2814.72803524285
"CK-17",2022,4544.21481309194
"CK-17",2023,5840.53605230708
"CK-18",1995,NA
"CK-18",1996,NA
"CK-18",1997,NA
"CK-18",1998,NA
"CK-18",1999,NA
"CK-18",2000,NA
"CK-18",2001,NA
"CK-18",2002,NA
"CK-18",2003,835.306792880556
"CK-18",2004,878.911354197284
"CK-18",2005,636.703597724775
"CK-18",2006,512.786993609761
"CK-18",2007,355.933058432611
"CK-18",2008,325.1691961208
"CK-18",2009,240.903840375308
"CK-18",2010,220.5424781295
"CK-18",2011,209.745965325882
"CK-18",2012,219.825712833407
"CK-18",2013,202.788126809899
"CK-18",2014,199.524415986452
"CK-18",2015,172.084105745904
"CK-18",2016,152.437729800148
"CK-18",2017,131.038472991652
"CK-18",2018,108.189562776303
"CK-18",2019,134.648297994618
"CK-18",2020,181.292059065547
"CK-18",2021,199.530915823164
"CK-18",2022,263.42555497613
"CK-18",2023,393.552891201863
"CK-19",1995,NA
"CK-19",1996,NA
"CK-19",1997,NA
"CK-19",1998,NA
"CK-19",1999,NA
"CK-19",2000,NA
"CK-19",2001,6354.08306043548
"CK-19",2002,5898.39741438646
"CK-19",2003,5933.01096956173
"CK-19",2004,6095.59211680827
"CK-19",2005,5699.12380871519
"CK-19",2006,5678.86726591453
"CK-19",2007,4490.29861797568
"CK-19",2008,3930.98623248531
"CK-19",2009,3964.01175899211
"CK-19",2010,3185.5686150247
"CK-19",2011,2538.06568996342
"CK-19",2012,2607.06983552555
"CK-19",2013,2379.85450567476
"CK-19",2014,2071.52641191417
"CK-19",2015,2731.34529252979
"CK-19",2016,2440.39921637829
"CK-19",2017,2204.78652813345
"CK-19",2018,1699.1949963463
"CK-19",2019,1348.85496427711
"CK-19",2020,1261.78377098357
"CK-19",2021,1735.78006364377
"CK-19",2022,2310.81472415666
"CK-19",2023,3391.97338492836
"CM-02",1995,NA
"CM-02",1996,NA
"CM-02",1997,NA
"CM-02",1998,NA
"CM-02",1999,NA
"CM-02",2000,NA
"CM-02",2001,NA
"CM-02",2002,NA
"CM-02",2003,NA
"CM-02",2004,NA
"CM-02",2005,1591272.44819364
"CM-02",2006,1531859.1745601
"CM-02",2007,1397193.71232678
"CM-02",2008,1083913.99185427
"CM-02",2009,835979.365871752
"CM-02",2010,620107.626885949
"CM-02",2011,616772.732859545
"CM-02",2012,678980.134786537
"CM-02",2013,819508.33302912
"CM-02",2014,967577.534235596
"CM-02",2015,939043.230325393
"CM-02",2016,1024480.50209249
"CM-02",2017,940721.844530156
"CM-02",2018,841146.919341077
"CM-02",2019,639262.924277177
"CM-02",2020,471046.252561571
"CM-02",2021,449957.730377029
"CM-02",2022,502648.967697493
"CM-02",2023,601015.215034601
"CO-48",1995,NA
"CO-48",1996,NA
"CO-48",1997,NA
"CO-48",1998,NA
"CO-48",1999,NA
"CO-48",2000,3110.58934265413
"CO-48",2001,3321.22286398679
"CO-48",2002,4509.46097067664
"CO-48",2003,4484.86980917762
"CO-48",2004,4178.89318084991
"CO-48",2005,3411.04850927995
"CO-48",2006,2384.38658796537
"CO-48",2007,3049.52169018256
"CO-48",2008,2666.83920936342
"CO-48",2009,3227.43497125302
"CO-48",2010,2510.8852808621
"CO-48",2011,3486.65144838857
"CO-48",2012,5078.75995007693
"CO-48",2013,6871.99987712562
"CO-48",2014,6447.1635464776
"CO-48",2015,3706.28935592018
"CO-48",2016,3904.77797989366
"CO-48",2017,4037.34216846112
"CO-48",2018,5564.00153049852
"CO-48",2019,3382.51340381776
"CO-48",2020,4239.75043861626
"CO-48",2021,6286.83949255997
"CO-48",2022,10815.697555278
"CO-48",2023,13902.7024669729
"CO-05",1995,NA
"CO-05",1996,NA
"CO-05",1997,NA
"CO-05",1998,NA
"CO-05",1999,NA
"CO-05",2000,3932.36600273017
"CO-05",2001,4051.40266009567
"CO-05",2002,3957.2438507379
"CO-05",2003,4698.83824407914
"CO-05",2004,4672.72425556552
"CO-05",2005,3928.9297660922
"CO-05",2006,2775.65313804033
"CO-05",2007,2152.61909444777
"CO-05",2008,1710.29008108492
"CO-05",2009,1930.44174126197
"CO-05",2010,1801.77031674243
"CO-05",2011,2540.21326892579
"CO-05",2012,3315.96700257407
"CO-05",2013,4454.31665883533
"CO-05",2014,3073.85475446657
"CO-05",2015,1258.09163701176
"CO-05",2016,753.56487170277
"CO-05",2017,877.891923745936
"CO-05",2018,2114.12562671855
"CO-05",2019,2983.13504685334
"CO-05",2020,4398.36073377147
"CO-05",2021,3449.7830355191
"CO-05",2022,4324.56077404444
"CO-05",2023,4450.84795691331
"CO-07",1995,NA
"CO-07",1996,NA
"CO-07",1997,NA
"CO-07",1998,NA
"CO-07",1999,NA
"CO-07",2000,1179.6361973381
"CO-07",2001,2557.81085638656
"CO-07",2002,3946.82568366217
"CO-07",2003,3624.69030727262
"CO-07",2004,2986.47040844298
"CO-07",2005,2051.88705874973
"CO-07",2006,1747.1906161443
"CO-07",2007,2628.41135148187
"CO-07",2008,3194.30657877991
"CO-07",2009,4907.54340936128
"CO-07",2010,5277.06332585196
"CO-07",2011,6513.50025310631
"CO-07",2012,9113.92744963265
"CO-07",2013,9154.79398515279
"CO-07",2014,9177.13907365194
"CO-07",2015,6948.81750045366
"CO-07",2016,8050.78169897038
"CO-07",2017,6608.85810845155
"CO-07",2018,7442.67221234677
"CO-07",2019,6341.2082893794
"CO-07",2020,10269.2682324469
"CO-07",2021,14099.1154743353
"CO-07",2022,16203.4029297668
"CO-07",2023,13948.9874864456
"CO-09",1995,NA
"CO-09",1996,NA
"CO-09",1997,NA
"CO-09",1998,NA
"CO-09",1999,NA
"CO-09",2000,8595.55293571895
"CO-09",2001,12012.3921862936
"CO-09",2002,14799.234033027
"CO-09",2003,14927.9491224366
"CO-09",2004,11009.374417658
"CO-09",2005,6679.54249558904
"CO-09",2006,5470.99950074343
"CO-09",2007,7295.34358754793
"CO-09",2008,6867.06151542707
"CO-09",2009,9340.00383389956
"CO-09",2010,7324.05875708491
"CO-09",2011,9650.54995345535
"CO-09",2012,12384.2194099214
"CO-09",2013,13723.2435953578
"CO-09",2014,11707.5996202296
"CO-09",2015,6355.10160696406
"CO-09",2016,6477.24672245105
"CO-09",2017,8511.45668818356
"CO-09",2018,13046.5244341163
"CO-09",2019,12603.1333477824
"CO-09",2020,16388.8270053204
"CO-09",2021,22248.8729929717
"CO-09",2022,23775.6313531949
"CO-09",2023,23387.9294361989
"CO-08",1995,NA
"CO-08",1996,NA
"CO-08",1997,NA
"CO-08",1998,NA
"CO-08",1999,NA
"CO-08",2000,3713.50759178414
"CO-08",2001,4873.75407342978
"CO-08",2002,6963.75215167765
"CO-08",2003,6914.13265351135
"CO-08",2004,7582.91623022658
"CO-08",2005,4552.25754987466
"CO-08",2006,3899.45067871237
"CO-08",2007,3566.18066377972
"CO-08",2008,5281.0760022037
"CO-08",2009,6454.30815784872
"CO-08",2010,5775.46715795131
"CO-08",2011,4838.55690604598
"CO-08",2012,7335.1265776179
"CO-08",2013,8245.56601818108
"CO-08",2014,6713.77015108057
"CO-08",2015,3560.97972666825
"CO-08",2016,3712.54903464806
"CO-08",2017,3869.24161366163
"CO-08",2018,5528.31109853643
"CO-08",2019,4526.97857235197
"CO-08",2020,7202.69759987265
"CO-08",2021,9751.72687173468
"CO-08",2022,9830.41553611078
"CO-08",2023,9885.96182077125
"CO-47",1995,NA
"CO-47",1996,NA
"CO-47",1997,NA
"CO-47",1998,NA
"CO-47",1999,NA
"CO-47",2000,NA
"CO-47",2001,NA
"CO-47",2002,NA
"CO-47",2003,NA
"CO-47",2004,NA
"CO-47",2005,NA
"CO-47",2006,NA
"CO-47",2007,NA
"CO-47",2008,NA
"CO-47",2009,NA
"CO-47",2010,NA
"CO-47",2011,NA
"CO-47",2012,NA
"CO-47",2013,NA
"CO-47",2014,NA
"CO-47",2015,NA
"CO-47",2016,NA
"CO-47",2017,NA
"CO-47",2018,NA
"CO-47",2019,NA
"CO-47",2020,NA
"CO-47",2021,NA
"CO-47",2022,NA
"CO-47",2023,NA
"CO-04",1995,NA
"CO-04",1996,NA
"CO-04",1997,NA
"CO-04",1998,NA
"CO-04",1999,NA
"CO-04",2000,NA
"CO-04",2001,NA
"CO-04",2002,NA
"CO-04",2003,NA
"CO-04",2004,NA
"CO-04",2005,NA
